Country,Code,Annual greenhouse gas emissions
Aruba,ABW,908493.56
Afghanistan,AFG,38388932
Angola,AGO,210664500
Albania,ALB,8348606
Andorra,AND,579643.9
United Arab Emirates,ARE,263519650
Argentina,ARG,374615300
Armenia,ARM,10811998
Antigua and Barbuda,ATG,551638.56
Australia,AUS,602523600
Austria,AUT,73399740
Azerbaijan,AZE,68342940
Burundi,BDI,9680346
Belgium,BEL,126667690
Benin,BEN,32646900
Burkina Faso,BFA,47309736
Bangladesh,BGD,260359300
Bulgaria,BGR,51323430
Bahrain,BHR,70922650
Bahamas,BHS,2826694
Bosnia and Herzegovina,BIH,21675318
Belarus,BLR,106924000
Belize,BLZ,6335178
Bolivia,BOL,115829290
Brazil,BRA,2149922600
Barbados,BRB,1302384
Brunei,BRN,17202468
Bhutan,BTN,3606673.2
Botswana,BWA,21066084
Central African Republic,CAF,26928330
Canada,CAN,777304640
Switzerland,CHE,41204570
Chile,CHL,124002510
China,CHN,13710636000
Cote d'Ivoire,CIV,93137660
Cameroon,CMR,67284590
Democratic Republic of Congo,COD,544845400
Congo,COG,39103852
Cook Islands,COK,89311
Colombia,COL,299312600
Comoros,COM,984584.9
Cape Verde,CPV,836440
Costa Rica,CRI,14397038
Cuba,CUB,37143424
Cyprus,CYP,8392833
Czechia,CZE,100932440
Germany,DEU,745931840
Djibouti,DJI,1886537.8
Dominica,DMA,204049.22
Denmark,DNK,44549116
Dominican Republic,DOM,43943360
Algeria,DZA,281200100
Ecuador,ECU,84265610
Egypt,EGY,345371900
Eritrea,ERI,10249743
Spain,ESP,284545380
Estonia,EST,15742598
Ethiopia,ETH,298824060
Finland,FIN,79500376
Fiji,FJI,2414869
France,FRA,390787100
Micronesia (country),FSM,124743.66
Gabon,GAB,24690578
United Kingdom,GBR,420895070
Georgia,GEO,10640341
Ghana,GHA,48872380
Guinea,GIN,50954464
Gambia,GMB,3905443.8
Guinea-Bissau,GNB,4654343
Equatorial Guinea,GNQ,18435188
Greece,GRC,59725900
Grenada,GRD,355530.34
Guatemala,GTM,51641730
Guyana,GUY,12469429
Hong Kong,HKG,38349256
Honduras,HND,34914610
Croatia,HRV,21714940
Haiti,HTI,19185748
Hungary,HUN,56342756
Indonesia,IDN,2052639000
India,IND,3900927000
Ireland,IRL,58096960
Iran,IRN,1004503400
Iraq,IRQ,380905340
Iceland,ISL,4429273.5
Israel,ISR,71876180
Italy,ITA,372025540
Jamaica,JAM,8714901
Jordan,JOR,34398104
Japan,JPN,1104304300
Kazakhstan,KAZ,380184770
Kenya,KEN,103067910
Kyrgyzstan,KGZ,20432608
Cambodia,KHM,80265770
Kiribati,KIR,110612.21
Saint Kitts and Nevis,KNA,214229.66
South Korea,KOR,659403100
Kuwait,KWT,145848690
Laos,LAO,67923220
Lebanon,LBN,31218000
Liberia,LBR,20096898
Libya,LBY,86077660
Saint Lucia,LCA,540336.9
Liechtenstein,LIE,163504.5
Sri Lanka,LKA,42087400
Lesotho,LSO,6036074.5
Lithuania,LTU,24670628
Luxembourg,LUX,9296169
Latvia,LVA,14763020
Macao,MAC,1444754.6
Morocco,MAR,110461740
Moldova,MDA,6953372
Madagascar,MDG,56291840
Maldives,MDV,2374859.2
Mexico,MEX,807837630
North Macedonia,MKD,8065454.5
Mali,MLI,43734040
Malta,MLT,1877413.2
Myanmar,MMR,268536420
Montenegro,MNE,2978360.5
Mongolia,MNG,93267630
Mozambique,MOZ,81286580
Mauritania,MRT,17378012
Mauritius,MUS,5662715.5
Malawi,MWI,23848074
Malaysia,MYS,428738370
Namibia,NAM,19005100
Niger,NER,58815176
Nigeria,NGA,444498340
Nicaragua,NIC,37922930
Niue,NIU,13545.979
Netherlands,NLD,177776110
Norway,NOR,72132240
Nepal,NPL,57041572
Nauru,NRU,64964.613
New Zealand,NZL,68861770
Oman,OMN,121185950
World,OWID_WRL,54593196000
Pakistan,PAK,533172930
Panama,PAN,24189908
Peru,PER,139043900
Philippines,PHL,269934140
Palau,PLW,304322.34
Papua New Guinea,PNG,52659516
Poland,POL,384653440
North Korea,PRK,84851730
Portugal,PRT,51533380
Paraguay,PRY,102357310
Qatar,QAT,205832210
Romania,ROU,102693510
Russia,RUS,2410954200
Rwanda,RWA,10167423
Saudi Arabia,SAU,821468350
Sudan,SDN,151308080
Senegal,SEN,31299054
Singapore,SGP,39819120
Saint Helena,SHN,18079.629
Solomon Islands,SLB,3840602.8
Sierra Leone,SLE,19400120
El Salvador,SLV,8947714
Somalia,SOM,47936770
Serbia,SRB,38493130
South Sudan,SSD,58769720
Sao Tome and Principe,STP,215959.95
Suriname,SUR,7938112.5
Slovakia,SVK,42089196
Slovenia,SVN,17752356
Sweden,SWE,65116584
Eswatini,SWZ,2611030.8
Seychelles,SYC,661352.75
Syria,SYR,38876510
Turks and Caicos Islands,TCA,358016.03
Chad,TCD,116463490
Togo,TGO,10923421
Thailand,THA,452123140
Tajikistan,TJK,21923554
Turkmenistan,TKM,142366060
East Timor,TLS,9377215
Tonga,TON,328930.66
Trinidad and Tobago,TTO,55284110
Tunisia,TUN,45453628
Turkey,TUR,598351400
Tuvalu,TUV,19410.707
Taiwan,TWN,307908300
Tanzania,TZA,224477710
Uganda,UGA,68197180
Ukraine,UKR,284420800
Uruguay,URY,45395060
United States,USA,5925714400
Uzbekistan,UZB,206963060
Saint Vincent and the Grenadines,VCT,259039.61
Venezuela,VEN,189462780
British Virgin Islands,VGB,181107.7
Vietnam,VNM,570343700
Vanuatu,VUT,380325.44
Samoa,WSM,503368.38
Yemen,YEM,31402334
South Africa,ZAF,552890200
Zambia,ZMB,90094220
Zimbabwe,ZWE,38060010
